UF,CIDADE,CEP INICIAL,CEP FINAL,VALOR,PRAZO
DF,BRASILIADF,70000000,72799999,"604,49",4
DF,BRASILIADF,73000001,73699999,"604,49",4
GO,AGUASLINDASDEGOIASGO,72910000,72929999,"652,84",5
GO,CIDADEOCIDENTALGO,72880000,72899999,"652,84",4
GO,FORMOSAGO,73800000,73819999,"652,84",4
GO,LUZIANIAGO,72800000,72859999,"652,84",4
GO,NOVOGAMAGO,72860000,72869999,"652,84",4
GO,PADREBERNARDOGO,73700000,73729999,"652,84",6
GO,PALESTINADEGOIASGO,73750001,73757999,"652,84",7
GO,VALPARAISODEGOIASGO,72870000,72879999,"652,84",4
ES,ALEGREES,29500000,29539999,"614,93",6
ES,ALFREDOCHAVESES,29240000,29254999,"595,57",5
ES,ANCHIETAES,29230000,29239999,"614,93",6
ES,CACHOEIRODEITAPEMIRIMES,29300000,29329999,"595,57",5
ES,CARIACICAES,29140000,29159999,"614,93",5
ES,CASTELOES,29360000,29369999,"614,93",6
ES,CONCEICAODOCASTELOES,29370000,29374999,"595,57",6
ES,DOMINGOSMARTINSES,29260000,29279999,"595,57",9
ES,FUNDAOES,29185000,29189999,"614,93",7
ES,GUACUIES,29560000,29579999,"614,93",6
ES,GUARAPARIES,29200000,29229999,"614,93",6
ES,IBATIBAES,29395000,29397999,"614,93",6
ES,IBIRACUES,29670000,29679999,"614,93",7
ES,IBITIRAMAES,29540000,29549999,"614,93",6
ES,ICONHAES,29280000,29284999,"614,93",6
ES,ITAPEMIRIMES,29330000,29344999,"614,93",6
ES,IUNAES,29390000,29394999,"614,93",6
ES,JERONIMOMONTEIROES,29550000,29559999,"595,57",6
ES,MARATAIZESES,29345000,29349999,"614,93",6
ES,PIUMAES,29285000,29289999,"614,93",6
ES,RIONOVODOSULES,29290000,29294999,"595,57",6
ES,SANTALEOPOLDINAES,29640000,29644999,"595,57",9
ES,SERRAES,29160000,29184999,"614,93",5
ES,VENDANOVADOIMIGRANTEES,29375000,29379999,"595,57",6
ES,VIANAES,29130000,29139999,"614,93",5
ES,VILAVELHAES,29100000,29129999,"595,57",5
ES,VITORIAES,29000000,29099999,"614,93",5
ES,AFONSOCLAUDIOES,29600000,29614999,"643,92",9
ES,AGUIABRANCAES,29795000,29799999,"643,92",7
ES,ALTORIONOVOES,29760000,29769999,"643,92",7
ES,APIACAES,29450000,29459999,"663,28",7
ES,ARACRUZES,29190000,29199999,"663,28",7
ES,ATILIOVIVACQUAES,29490000,29499999,"643,92",6
ES,BAIXOGUANDUES,29730000,29744999,"643,92",7
ES,BARRADESAOFRANCISCOES,29800000,29819999,"643,92",7
ES,BOMJESUSDONORTEES,29460000,29469999,"643,92",6
ES,BREJETUBAES,29630000,29639999,"663,28",9
ES,COLATINAES,29700000,29719999,"663,28",6
ES,CONCEICAODABARRAES,29960000,29969999,"643,92",7
ES,DIVINODESAOLOURENCOES,29590000,29599999,"643,92",6
ES,DORESDORIOPRETOES,29580000,29589999,"643,92",7
ES,GOVERNADORLINDENBERGES,29720000,29724999,"643,92",7
ES,IRUPIES,29398000,29399999,"663,28",9
ES,ITAGUACUES,29690000,29699999,"663,28",9
ES,ITARANAES,29620000,29629999,"663,28",9
ES,JAGUAREES,29950000,29959999,"663,28",7
ES,JOAONEIVAES,29680000,29689999,"643,92",7
ES,LARANJADATERRAES,29615000,29619999,"643,92",9
ES,LINHARESES,29900000,29919999,"663,28",6
ES,MANTENOPOLISES,29770000,29779999,"663,28",7
ES,MARECHALFLORIANOES,29255000,29259999,"643,92",9
ES,MARILANDIAES,29725000,29729999,"663,28",6
ES,MIMOSODOSULES,29400000,29449999,"643,92",8
ES,MUNIZFREIREES,29380000,29389999,"643,92",9
ES,MUQUIES,29480000,29489999,"663,28",7
ES,NOVAVENECIAES,29830000,29842999,"643,92",6
ES,PANCASES,29750000,29759999,"663,28",4
ES,PRESIDENTEKENNEDYES,29350000,29359999,"643,92",8
ES,RIOBANANALES,29920000,29926999,"643,92",7
ES,SANTAMARIADEJETIBAES,29645000,29649999,"643,92",9
ES,SANTATERESAES,29650000,29664999,"643,92",9
ES,SAODOMINGOSDONORTEES,29745000,29749999,"643,92",7
ES,SAOGABRIELDAPALHAES,29780000,29784999,"643,92",7
ES,SAOJOSEDOCALCADOES,29470000,29479999,"643,92",7
ES,SAOMATEUSES,29930000,29949999,"643,92",7
ES,SAOROQUEDOCANAAES,29665000,29669999,"643,92",7
ES,SOORETAMAES,29927000,29929999,"663,28",7
ES,VARGEMALTAES,29295000,29299999,"643,92",9
ES,VILAVALERIOES,29785000,29794999,"643,92",7
ES,AGUADOCEDONORTEES,29820000,29829999,"649,56",7
ES,BOAESPERANCAES,29845000,29849999,"649,56",7
ES,ECOPORANGAES,29850000,29879999,"668,92",7
ES,MONTANHAES,29890000,29899999,"668,92",7
ES,MUCURICIES,29880000,29884999,"668,92",7
ES,PEDROCANARIOES,29970000,29979999,"649,56",7
ES,PINHEIROSES,29980000,29999999,"668,92",7
ES,PONTOBELOES,29885000,29889999,"649,56",7
ES,VILAPAVAOES,29843000,29844999,"649,56",7
GO,ITAJAGO,75815000,75818999,"446,98",5
GO,LAGOASANTAGO,75819000,75819999,"446,98",5
MG,ARAPORAMG,38435000,38439999,"578,87",8
GO,BOMJESUSGO,75570000,75579999,"548,28",5
GO,BURITIALEGREGO,75660000,75664999,"548,28",8
GO,CACHOEIRAALTAGO,75870000,75879999,"548,28",6
GO,CACHOEIRADOURADAGO,75560000,75569999,"548,28",8
GO,CACUGO,75813000,75814999,"548,28",6
GO,CALDASNOVASGO,75690000,75694999,"548,28",5
MG,CANAPOLISMG,38380000,38389999,"578,87",8
GO,CATALAOGO,75700000,75714999,"548,28",4
MG,CENTRALINAMG,38390000,38399999,"578,87",8
GO,GOIANDIRAGO,75740000,75749999,"548,28",4
GO,GOIATUBAGO,75600000,75602999,"548,28",5
GO,IPAMERIGO,75780000,75789999,"548,28",8
GO,ITARUMAGO,75810000,75812999,"548,28",6
GO,ITUMBIARAGO,75500000,75549999,"548,28",4
GO,JATAIGO,75800000,75809999,"548,28",4
GO,MORRINHOSGO,75650000,75659999,"548,28",5
GO,OUVIDORGO,75715000,75719999,"548,28",4
GO,PANAMAGO,75580000,75599999,"548,28",6
GO,PARANAIGUARAGO,75880000,75889999,"548,28",6
GO,PIRESDORIOGO,75200000,75209999,"548,28",8
GO,PONTALINAGO,75620000,75629999,"548,28",8
GO,RIOQUENTEGO,75695000,75699999,"548,28",8
GO,RIOVERDEGO,75900000,75914999,"548,28",4
GO,SAOSIMAOGO,75890000,75899999,"548,28",6
MG,TUPACIGUARAMG,38430000,38434999,"578,87",8
GO,URUTAIGO,75790000,75794999,"548,28",8
GO,ABADIADEGOIASGO,75345000,75349999,"604,49",9
GO,ABADIANIAGO,72940000,72959999,"635,36",7
GO,ACREUNAGO,75960000,75969999,"635,36",7
GO,ADELANDIAGO,76155000,76159999,"635,36",9
GO,AGUAFRIADEGOIASGO,73780000,73789999,"604,49",9
GO,ALEXANIAGO,72930000,72939999,"635,36",7
GO,ALOANDIAGO,75615000,75619999,"635,36",7
GO,ALTOPARAISODEGOIASGO,73770000,73779999,"604,49",9
GO,AMERICANODOBRASILGO,76165000,76169999,"604,49",7
GO,ANAPOLISGO,75000000,75159999,"604,49",4
GO,ANHANGUERAGO,75770000,75779999,"635,36",9
GO,ANICUNSGO,76170000,76179999,"635,36",7
GO,APARECIDADEGOIANIAGO,74900000,74999999,"604,49",4
GO,ARACUGO,75410000,75419999,"635,36",7
GO,ARAGOIANIAGO,75360000,75369999,"635,36",7
GO,AURILANDIAGO,76120000,76124999,"635,36",9
GO,AVELINOPOLISGO,75395000,75395999,"635,36",9
GO,BELAVISTADEGOIASGO,75240000,75244999,"604,49",7
GO,BONFINOPOLISGO,75195000,75199999,"635,36",7
GO,BRAZABRANTESGO,75440000,75449999,"635,36",9
GO,BURITIDEGOIASGO,76152000,76154999,"604,49",7
GO,CACHOEIRADEGOIASGO,76125000,76129999,"604,49",9
GO,CALDAZINHAGO,75245000,75249999,"635,36",7
GO,CAMPESTREDEGOIASGO,75396000,75397999,"604,49",7
GO,CAMPOLIMPODEGOIASGO,75160000,75164999,"604,49",7
GO,CARMODORIOVERDEGO,76340000,76342999,"604,49",7
GO,CATURAIGO,75430000,75439999,"635,36",7
GO,CERESGO,76300000,76303999,"635,36",7
GO,CEZARINAGO,76195000,76199999,"635,36",7
GO,CHAPADAODOCEUGO,75828000,75829999,"604,49",4
GO,COCALZINHODEGOIASGO,72975000,72979999,"604,49",7
GO,CORREGODOOUROGO,76145000,76149999,"604,49",7
GO,CORUMBADEGOIASGO,72960000,72974999,"604,49",7
GO,CRISTALINAGO,73850000,73859999,"604,49",5
GO,CRISTIANOPOLISGO,75230000,75239999,"635,36",7
GO,CROMINIAGO,75635000,75639999,"635,36",7
GO,DAMOLANDIAGO,75420000,75429999,"635,36",7
GO,EDEALINAGO,75945000,75949999,"635,36",7
GO,EDEIAGO,75940000,75944999,"635,36",7
GO,FIRMINOPOLISGO,76105000,76109999,"635,36",7
GO,GAMELEIRADEGOIASGO,75184000,75184999,"604,49",9
GO,GOIANAPOLISGO,75170000,75174999,"604,49",6
GO,GOIANESIAGO,76380000,76389999,"635,36",7
GO,GOIANIAGO,74000000,74899999,"604,49",4
GO,GOIANIRAGO,75370000,75374999,"604,49",9
GO,GOIASGO,76600000,76629999,"635,36",7
GO,GUAPOGO,75350000,75354999,"635,36",7
GO,GUARAITAGO,76690000,76699999,"635,36",9
GO,HEITORAIGO,76670000,76679999,"635,36",7
GO,HIDROLANDIAGO,75340000,75344999,"635,36",7
GO,INDIARAGO,75955000,75959999,"635,36",7
GO,INHUMASGO,75400000,75409999,"604,49",7
GO,ITABERAIGO,76630000,76639999,"635,36",7
GO,ITAGUARIGO,76650000,76659999,"635,36",7
GO,ITAGUARUGO,76660000,76669999,"635,36",7
GO,ITAPURANGAGO,76680000,76689999,"635,36",7
GO,ITAUCUGO,75450000,75454999,"635,36",7
GO,IVOLANDIAGO,76130000,76134999,"635,36",9
GO,JANDAIAGO,75950000,75954999,"635,36",7
GO,JARAGUAGO,76330000,76334999,"635,36",7
GO,JESUPOLISGO,75495000,75499999,"604,49",7
GO,JOVIANIAGO,75610000,75614999,"635,36",7
GO,LEOPOLDODEBULHOESGO,75190000,75194999,"604,49",7
GO,MAIRIPOTABAGO,75630000,75634999,"635,36",7
GO,MINEIROSGO,75830000,75834999,"604,49",5
GO,MOIPORAGO,76135000,76139999,"635,36",9
GO,MONTIVIDIUGO,75915000,75919999,"604,49",4
GO,MOSSAMEDESGO,76150000,76151999,"635,36",9
GO,NAZARIOGO,76180000,76189999,"635,36",7
GO,NEROPOLISGO,75460000,75469999,"604,49",9
GO,NOVAVENEZAGO,75470000,75479999,"604,49",7
GO,ORIZONAGO,75280000,75339999,"635,36",9
GO,OUROVERDEDEGOIASGO,75165000,75169999,"604,49",7
GO,PALMEIRASDEGOIASGO,76190000,76194999,"604,49",7
GO,PALMELOGO,75210000,75219999,"635,36",9
GO,PALMINOPOLISGO,75990000,76099999,"635,36",7
GO,PARAUNAGO,75980000,75984999,"635,36",7
GO,PEROLANDIAGO,75823000,75824999,"604,49",5
GO,PETROLINADEGOIASGO,75480000,75489999,"604,49",7
GO,PIRACANJUBAGO,75640000,75644999,"635,36",7
GO,PIRENOPOLISGO,72980000,72989999,"635,36",7
GO,PORTEIRAOGO,75603000,75609999,"635,36",9
GO,PORTELANDIAGO,75835000,75839999,"604,49",5
GO,PROFESSORJAMILGO,75645000,75649999,"604,49",7
GO,QUIRINOPOLISGO,75860000,75864999,"604,49",5
GO,RIALMAGO,76310000,76314999,"635,36",7
GO,RIANAPOLISGO,76315000,76319999,"635,36",7
GO,SANCLERLANDIAGO,76160000,76164999,"635,36",7
GO,SANTABARBARADEGOIASGO,75398000,75399999,"604,49",7
GO,SANTACRUZDEGOIASGO,75220000,75229999,"604,49",9
GO,SANTAHELENADEGOIASGO,75920000,75924999,"604,49",5
GO,SANTARITADOARAGUAIAGO,75840000,75844999,"604,49",5
GO,SANTAROSADEGOIASGO,75455000,75459999,"604,49",7
GO,SANTOANTONIODABARRAGO,75935000,75939999,"604,49",7
GO,SANTOANTONIODEGOIASGO,75375000,75379999,"604,49",7
GO,SANTOANTONIODODESCOBERTOGO,72900000,72909999,"604,49",7
GO,SAOFRANCISCODEGOIASGO,75490000,75494999,"604,49",7
GO,SAOJOAODAPARAUNAGO,75985000,75989999,"604,49",7
GO,SAOLUISDEMONTESBELOSGO,76100000,76104999,"604,49",7
GO,SAOMIGUELDOPASSAQUATROGO,75185000,75189999,"604,49",7
GO,SAOPATRICIOGO,76343000,76344999,"604,49",9
GO,SENADORCANEDOGO,75250000,75259999,"604,49",7
GO,SERRANOPOLISGO,75820000,75822999,"604,49",4
GO,SILVANIAGO,75180000,75183999,"635,36",7
GO,TAQUARALDEGOIASGO,76640000,76649999,"604,49",7
GO,TEREZOPOLISDEGOIASGO,75175000,75179999,"604,49",6
GO,TRINDADEGO,75380000,75394999,"604,49",7
GO,TURVANIAGO,76110000,76119999,"635,36",7
GO,URUANAGO,76335000,76339999,"635,36",7
GO,VARJAOGO,75355000,75359999,"635,36",7
GO,VIANOPOLISGO,75260000,75279999,"635,36",7
GO,VICENTINOPOLISGO,75555000,75559999,"635,36",7
GO,VILAPROPICIOGO,76393000,76393999,"604,49",9
GO,AGUALIMPAGO,75665000,75669999,"652,84",9
GO,ALTOHORIZONTEGO,76560000,76579999,"652,84",9
